Periods,Demand [kW],Wind Power Factor [p.u.],Solar Power Factor [p.u.],Real Time Price [$/MWh]
Period01,7375.68,0.05,0,22.41
Period02,7318.08,0.05,0,24.41
Period03,7329.6,0.05,0,21.1
Period04,7329.6,0.04,0,15.8
Period05,7280.64,0.04,0,20.53
Period06,7269.12,0.05,0,20.23
Period07,7234.56,0.06,0,19.5
Period08,7217.28,0.06,0,19.17
Period09,7208.64,0.05,0,23.05
Period10,7174.08,0.01,0,20.67
Period11,7151.04,0,0,20.13
Period12,7148.16,0,0,19.83
Period13,7113.6,0,0,19.46
Period14,7130.88,0,0,8.78
Period15,7130.88,0,0,8.77
Period16,7139.52,0,0,6.58
Period17,7139.52,0,0,8.8
Period18,7148.16,0,0,8.79
Period19,7182.72,0,0,8.79
Period20,7217.28,0,0,18.72
Period21,7329.6,0,0,18.97
Period22,7450.56,0,0,19.76
Period23,7597.44,0,0,19.75
Period24,7701.12,0,0,19.59
Period25,7925.76,0,0,18.17
Period26,8046.72,0,0,16.21
Period27,8115.84,0,0,16.86
Period28,8236.8,0,0,14.93
Period29,8340.48,0,0,8.95
Period30,8452.8,0,0,11.71
Period31,8570.88,0,0,12.48
Period32,8703.36,0,0,10.73
Period33,8807.04,0,0.02,2.9
Period34,8893.44,0,0.07,1.24
Period35,9014.4,0,0.1,2.37
Period36,9100.8,0,0.04,2.01
Period37,9187.2,0,0.19,2.99
Period38,9264.96,0,0.13,16.76
Period39,9342.72,0,0.11,10.18
Period40,9360,0,0.19,10.45
Period41,9437.76,0,0.31,13.3
Period42,9437.76,0,0.35,11.8
Period43,9472.32,0,0.36,12.25
Period44,9489.6,0,0.39,13.65
Period45,9567.36,0,0.31,21.23
Period46,9558.72,0,0.37,16.72
Period47,9567.36,0,0.47,17.83
Period48,9576,0,0.49,17.34
Period49,9619.2,0,0.5,17.31
Period50,9601.92,0,0.31,21.29
Period51,9619.2,0,0.27,21.18
Period52,9619.2,0,0.29,19.29
Period53,9636.48,0,0.35,18.06
Period54,9688.32,0,0.26,22.51
Period55,9783.36,0,0.18,17.04
Period56,9800.64,0,0.08,16.97
Period57,9748.8,0,0.08,9.03
Period58,9757.44,0,0.09,8.43
Period59,9783.36,0,0.19,16.69
Period60,9774.72,0,0.16,10.55
Period61,9748.8,0,0.06,6.74
Period62,9754.56,0,0.05,10.92
Period63,9766.08,0,0.08,9.12
Period64,9688.32,0,0.05,15.24
Period65,9645.12,0,0.02,14.04
Period66,9619.2,0.01,0,17.18
Period67,9558.72,0.04,0,18.05
Period68,9455.04,0,0,24.05
Period69,9394.56,0.01,0,26.79
Period70,9299.52,0.04,0,21.45
Period71,9282.24,0.05,0,26.79
Period72,9256.32,0.07,0,26.54
Period73,9152.64,0.09,0,26.75
Period74,9063.36,0.11,0,20.67
Period75,9023.04,0.12,0,25.03
Period76,8962.56,0.13,0,21.34
Period77,8910.72,0.15,0,18.36
Period78,8841.6,0.16,0,17.49
Period79,8841.6,0.15,0,18.03
Period80,8729.28,0.14,0,19.25
Period81,8582.4,0.13,0,19.57
Period82,8496,0.13,0,19.01
Period83,8478.72,0.15,0,19.72
Period84,8418.24,0.16,0,20.97
Period85,8383.68,0.15,0,36.13
Period86,8357.76,0.15,0,35.22
Period87,8280,0.15,0,28.83
Period88,8236.8,0.13,0,25.93
Period89,8046.72,0.13,0,26.28
Period90,7977.6,0.13,0,23.79
Period91,7873.92,0.13,0,22.07
Period92,7839.36,0.14,0,21.79
Period93,7692.48,0.13,0,22
Period94,7649.28,0.08,0,22.19
Period95,7588.8,0.16,0,22.11
Period96,7554.24,0.13,0,16.56
